Coordenada(X),Coordenada(Y),,Locazacao
367843,-1218863, Bahra Esmeralda,
367844,-1218862,Valle del Sol,
367845,-1218861,Costa del Coral,
367846,-1218860, Pueblo Verde,
367847,-1218859,Montaras Brumosas,
367848,-1218858, Pico Helado,
367849,-1218857,Lago Sereno,
367850,-1218856,Colina Dorada,
367851,-1218855,Glaciar Plateado,
367852,-1218854, Bosque Encantado,
367853,-1218853,Valle de la Luna,
367854,-1218852,Oasis Escondido,
367855,-1218851,Costa Dorada,
367856,-1218850, Islote Coralino,
367857,-1218849,Rro Esmeralda,
367858,-1218848,Bahia Azul,
367859,-1218847, Valle de Cristal,
367860,-1218846,Pueblo Sereno,
367861,-1218845,Playa Dorada,
367862,-1218844,Bosque Silvestre,
